"protocol","nCD","ReSx","ReSz","meanN"
"qudit_full_ST",0,0.043213918263771835,0.043213918263771835,0
"qudit_full_ST",2,0.12864837840767507,0.12864837840767493,5.0027789374910485
"qudit_full_ST",4,0.21081943472668913,0.21081941177098448,8.333139133823751
"qudit_full_ST",6,0.2883368904845358,0.28833722884785434,10.595752847311672
"qudit_full_ST",8,0.3587976193616992,0.3587989362790589,12.124933597891209
"qudit_full_ST",10,0.421563329231202,0.42156616086130694,13.15362035988736
"qudit_full_ST",12,0.47678870447855587,0.4767934501010744,13.843740619739833
"qudit_full_ST",14,0.5249494984486607,0.5249564028457345,14.305954038092842
"qudit_full_ST",16,0.56665135376917,0.5666605149538146,14.61513782902521
"qudit_full_ST",18,0.6025450619465755,0.6025564580002637,14.821710203260098
"qudit_full_ST",20,0.6332822429916168,0.6332957668295701,14.959541446030835
"qudit_full_ST",22,0.6594891601626247,0.6595046527753387,15.051359809705177
"qudit_full_ST",24,0.681750857616796,0.6817681347094163,15.112407444874103
"qudit_full_ST",26,0.7006022583387534,0.7006211290641952,15.152901240622676
"qudit_full_ST",28,0.7165242384696515,0.7165445171365965,15.179685934405516
"qudit_full_ST",30,0.7299432219368941,0.7299647344143566,15.197343827348986
"qudit_full_ST",32,0.7412331535079544,0.7412557400782458,15.208939624820037
"qudit_full_ST",34,0.7507189636835555,0.7507424797601074,15.216520411422715
"qudit_full_ST",36,0.7586808603277649,0.7587051760313267,15.22145128909317
"qudit_full_ST",38,0.7653589685420652,0.7653839677567982,15.22464068998869
"qudit_full_ST",40,0.7709579904795142,0.7709835697365327,15.226691597991797
"qudit_full_ST",42,0.7756516725230542,0.7756777398813403,15.228002998577692
"qudit_full_ST",44,0.7795869529841466,0.7796134269764754,15.228837889928926
"qudit_full_ST",46,0.7828877246699187,0.782914533329799,15.229368830418148
"qudit_full_ST",48,0.7856581887005972,0.7856852686650343,15.22970840053647
"qudit_full_ST",50,0.7879858035794817,0.7880130992570316,15.22992954040083
"qudit_full_ST",52,0.7899438506278537,0.7899713134230499,15.230079098782971
"qudit_full_ST",54,0.7915936465597346,0.7916212341484792,15.230186836190393
"qudit_full_ST",56,0.7929864385096755,0.7930141141633535,15.230271388649289
"qudit_full_ST",58,0.7941650179584089,0.7941927499164482,15.230344203552386
"qudit_full_ST",60,0.7951650889681344,0.7951928498595326,15.230412125652448
"qudit_full_ST",62,0.7960164238207098,0.7960441901349233,15.230479087133876
"qudit_full_ST",64,0.7967438361561472,0.7967715877631394,15.230547205067046
"qudit_full_ST",66,0.7973679984446115,0.7973957181629842,15.230617488446562
"qudit_full_ST",68,0.7979061273570869,0.7979338005684157,15.230690289249509
"qudit_full_ST",70,0.7983725574904579,0.7984001717972239,15.230765586613636
"qudit_sharpen_only",0,0.043213918263771835,0.043213918263771835,0
"qudit_sharpen_only",1,0.13069597698192337,0.13069597698192348,3.1364331860058656
"qudit_sharpen_only",2,0.21614628351647983,0.2161462835164797,6.275409208061793
"qudit_sharpen_only",3,0.2982992622286021,0.2982992622286021,9.416900904691415
"qudit_sharpen_only",4,0.37603182138384467,0.3760318213838447,12.560780343108188
"qudit_sharpen_only",5,0.44649732514852414,0.44649732514852436,15.684002925054251
"qudit_sharpen_only",6,0.5055702236026401,0.50557022360264,18.68369765043009
"qudit_sharpen_only",7,0.544074839824106,0.5440748398241061,21.381715232134063
"qudit_sharpen_only",8,0.580495128003968,0.580495128003968,23.755549445896392
"qudit_sharpen_only",9,0.5915623079481321,0.5915623079481325,25.958121938592267
